[2025-11-10 14:54:48] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:54:48] | 404 |            0s | 192.168.254.7   | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:54:48] | 404 |         506µs | 192.168.254.7   | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:55:39] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:56:06] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:56:38] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 14:57:39] | 200 |            0s | 192.168.254.3   | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | err:
[2025-11-10 14:57:39] | 404 |            0s | 192.168.254.3   | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | err:
[2025-11-10 14:57:39] | 404 |            0s | 192.168.254.3   | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | err:
[2025-11-10 15:21:29] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
[2025-11-10 15:23:43] | 200 |       513.9µs | 192.168.254.3   | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 | err:
[2025-11-10 15:24:12] | 200 |            0s | 192.168.254.7   | GET    / | user: | role: | UA:Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Mobile Safari/537.36 | err:
