[2025-11-15 14:37:02] | 200 |       550.8µs | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:02] | 200 |    119.7293ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:02] | 200 |    128.3147ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:04] | 404 |            0s | 192.168.1.64    | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:04] | 404 |       676.1µs | 192.168.1.64    | GET    /favicon.ico | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:07] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:08] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:08] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:37:08] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:09] | 200 |       504.1µs | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:09] | 200 |       506.2µs | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:09] | 200 |       505.6µs | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:10] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:11] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:38:11] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:39:00] | 201 |    354.7534ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:39:00] | 201 |    354.7534ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:39:04] | 404 |            0s | 192.168.1.64    | GET    /login.html | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:39:04] | 404 |       919.9µs | 192.168.1.64    | GET    /login.html | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:21] | 404 |            0s | 192.168.1.64    | GET    /login.html | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:21] | 404 |         674µs | 192.168.1.64    | GET    /login.html | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:23] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:23] | 200 |       504.3µs | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:23] | 200 |     39.3794ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:48] | 409 |    277.3101ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 14:40:48] | 409 |    277.8642ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:53:57] | 200 |            0s | 192.168.1.64    | GET    / | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:53:57] | 200 |     89.0454ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:53:57] | 200 |     88.5395ms | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:54:03] | 200 |            0s | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:54:28] | 401 |    379.9472ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:54:28] | 401 |    381.0564ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:54:55] | 401 |    188.2869ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:54:55] | 401 |    188.2869ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:55:03] | 200 |            0s | 192.168.1.64    | GET    /register | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:55:03] | 304 |            0s | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:05] | 201 |    225.7405ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:05] | 201 |    225.7405ms | 192.168.1.64    | POST   /api/auth/register/patient | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:07] | 200 |            0s | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:07] | 200 |       503.2µs | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:07] | 200 |            0s | 192.168.1.64    | GET    /assets/script.js | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:26] | 401 |    198.1376ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:56:26] | 401 |    200.1339ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:57:47] | 401 |    225.7452ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 15:57:47] | 401 |    227.4407ms | 192.168.1.64    | POST   /api/auth/login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:21:41] | 200 |            0s | 192.168.1.64    | GET    /login | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
[2025-11-15 16:21:41] | 200 |     83.3682ms | 192.168.1.64    | GET    /assets/style.css | user: | role: | UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 Edg/142.0.0.0 | err:
